id,original,reversed
257,ada,ada
258,aga,aga
238,aha,aha
190,aja,aja
191,aka,aka
259,alela,alela
260,amokoma,amokoma
261,amonoma,amonoma
262,ana,ana
263,anana,anana
244,anikina,anikina
264,anilina,anilina
245,anina,anina
246,anitina,anitina
243,aničina,aničina
265,anna,anna
266,anona,anona
267,apokopa,apokopa
268,ara,ara
269,asa,asa
270,ata,ata
271,aviva,aviva
272,bab,bab
273,barab,barab
274,bib,bib
275,bob,bob
276,bub,bub
230,ccc,ccc
277,celec,celec
278,cepec,cepec
279,cipic,cipic
231,cxc,cxc
280,ded,ded
281,dohod,dohod
282,dovod,dovod
283,dpd,dpd
284,dud,dud
285,dvd,dvd
287,ece,ece
288,ede,ede
289,ege,ege
286,eje,eje
290,ele,ele
291,elle,elle
292,eme,eme
293,emme,emme
232,ene,ene
294,epe,epe
295,ere,ere
296,ese,ese
297,esemese,esemese
299,etate,etate
298,ete,ete
300,eve,eve
301,fmf,fmf
302,gag,gag
303,gig,gig
304,gpg,gpg
305,halah,halah
306,hanah,hanah
307,hillih,hillih
308,hipih,hipih
309,hitih,hitih
239,huh,huh
311,idi,idi
312,igi,igi
233,iii,iii
310,iji,iji
313,imami,imami
314,iri,iri
192,iti,iti
315,ivi,ivi
248,ivovi,ivovi
316,izi,izi
194,jahaj,jahaj
317,jamamaj,jamamaj
193,jačaj,jačaj
195,jej,jej
240,joj,joj
318,kajak,kajak
319,kek,kek
320,kinik,kinik
321,kisik,kisik
322,kok,kok
323,krk,krk
196,lagal,lagal
197,lajal,lajal
198,lasal,lasal
324,laval,laval
199,legel,legel
200,lepel,lepel
202,letel,letel
201,lezel,lezel
204,lil,lil
203,ličil,ličil
325,lol,lol
326,lul,lul
205,maham,maham
206,majam,majam
328,makam,makam
207,malam,malam
213,mam,mam
329,mamam,mamam
330,manam,manam
331,mapam,mapam
208,maram,maram
209,mariniram,mariniram
332,masam,masam
334,matamatam,matamatam
327,mačam,mačam
333,mašam,mašam
335,mažam,mažam
234,mcm,mcm
210,medem,medem
336,melem,melem
211,metem,metem
212,mečem,mečem
241,mhm,mhm
214,milim,milim
249,mininim,mininim
215,mirim,mirim
337,mišim,mišim
216,mižim,mižim
235,mmm,mmm
338,modom,modom
339,molom,molom
189,morom,morom
340,mossom,mossom
341,motetom,motetom
342,motom,motom
343,nakan,nakan
344,nan,nan
250,neben,neben
251,nesen,nesen
345,neven,neven
252,nežen,nežen
253,nikin,nikin
346,nin,nin
254,ninin,ninin
347,nižin,nižin
348,non,non
349,nun,nun
350,odo,odo
242,oho,oho
217,ojačajo,ojačajo
351,oko,oko
218,omagamo,omagamo
219,omajamo,omajamo
352,omamo,omamo
220,omejujemo,omejujemo
221,ometemo,ometemo
222,omečemo,omečemo
223,omilimo,omilimo
353,oso,oso
255,oteto,oteto
354,oto,oto
355,otto,otto
356,pip,pip
357,pokop,pokop
358,pop,pop
359,potop,potop
360,pup,pup
361,radar,radar
362,rakar,rakar
363,ranar,ranar
364,ratar,ratar
365,reber,reber
366,rener,rener
367,reper,reper
368,rotor,rotor
369,sas,sas
371,sds,sds
372,shs,shs
373,sls,sls
188,sms,sms
374,sns,sns
227,tacat,tacat
228,tajat,tajat
229,tavat,tavat
256,volov,volov
236,xix,xix
237,xxx,xxx
247,čepeč,čepeč
370,šaš,šaš
224,šibiš,šibiš
225,šiliš,šiliš
226,širiš,širiš
